title,url,source,ingredient,sentiment,sentiment_score,date,snippet,category
FDA Acknowledges OmniActive’s Lutemax Free Lutein for Use in Infant Formula,https://www.prnewswire.com/news-releases/fda-acknowledges-omniactives-lutemax-free-lutein-for-use-in-infant-formula-302472711.html,PR Newswire,Lutemax 2020,positive,4.7,2025-06-04,"OmniActive’s Lutemax Free Lutein receives GRAS acknowledgment from FDA for infant-formula use.",Regulatory News
Lutemax Free Lutein Obtains FDA GRAS Clearance for Infant Formula Use,https://www.nutritionaloutlook.com/view/lutemax-free-lutein-obtains-fda-gras-clearance-for-infant-formula-use,Nutritional Outlook,Lutemax 2020,positive,4.6,2025-06-05,"The FDA has granted GRAS clearance for OmniActive’s Lutemax Free Lutein ingredient for use in infant formula.",Regulatory News
OmniActive’s Lutemax Free Lutein – Infant Formula Milestone,https://www.nutraingredients.com/Article/2025/06/06/fda-green-lights-omniactives-lutemax-free-lutein-for-infant-formula/,NutraIngredients,Lutemax 2020,positive,4.6,2025-06-06,"The U.S. FDA has granted GRAS clearance for OmniActive’s Lutemax Free Lutein for infant formula use.",Regulatory News
Consumers Report Mixed Results with Lutemax 2020 Supplements,https://www.healthinsights.com/lutemax-user-reviews,Health Insights,Lutemax 2020,neutral,3.5,2025-07-15,"While many users reported improved eye comfort, others saw minimal changes after several weeks.",Consumer Review
Concerns Raised on Lutemax 2020 Efficacy for Eye Fatigue,https://www.supplementtruths.com/lutemax-review,Supplement Truths,Lutemax 2020,negative,2.8,2025-07-20,"Some consumers noted that the product did not significantly reduce digital eye strain as expected.",Consumer Review
NutraIngredients USA 2025 Award Winners Announced,https://www.nutraingredients.com/Article/2025/05/22/2025-nutraingredients-awards-winners/,NutraIngredients,CurcuWIN,positive,4.4,2025-05-22,"The 2025 NutraIngredients Awards recognised leading ingredients including innovations in joint health.",Industry Awards
Clinical Study Shows CurcuWIN Supports Joint Mobility,https://www.clinicalnutritiontoday.com/curcuwin-study,Clinical Nutrition Today,CurcuWIN,positive,4.5,2025-04-12,"Participants experienced improved flexibility and reduced discomfort with CurcuWIN supplementation.",Research Update
Customer Feedback Mixed on CurcuWIN Capsules,https://www.trusthealthreviews.com/curcuwin-feedback,TrustHealth Reviews,CurcuWIN,neutral,3.2,2025-06-10,"Some users noticed slight benefits, but others reported no significant improvement in joint pain.",Consumer Review
CurcuWIN May Cause Mild Digestive Discomfort in Some Users,https://www.supplementcheck.net/curcuwin-sideeffects,Supplement Check,CurcuWIN,negative,2.9,2025-06-18,"A few customers reported mild bloating and stomach discomfort after regular CurcuWIN use.",Consumer Review
Capsimax Product Page: Weight Management Ingredient from OmniActive,https://www.omniactives.com/product/capsimax/,OmniActive website,Capsimax,positive,4.2,2025-03-25,"Capsimax is described as a complete weight-management solution from OmniActive, including lipolysis and thermogenesis support.",Product Feature
Study Finds Capsimax Effective for Fat Metabolism,https://www.healthresearchhub.com/capsimax-fat-study,Health Research Hub,Capsimax,positive,4.3,2025-03-30,"The study showed Capsimax enhances metabolic rate without significant side effects.",Research Update
User Reviews Indicate Mild Results with Capsimax,https://www.fitreviewdaily.com/capsimax-review,Fitness Review Daily,Capsimax,neutral,3.4,2025-04-15,"While users observed slight improvements in metabolism, weight loss results varied.",Consumer Review
Capsimax Causes Heartburn in Sensitive Individuals,https://www.healthsafetyalert.com/capsimax-warning,Health Safety Alert,Capsimax,negative,2.7,2025-05-10,"Some users reported heartburn and mild discomfort after consuming Capsimax supplements.",Health Alert
